Name,Address,City,State,Zip,Type Detailed,FY25 ALOS,FY26 ALOS,notes,last_updated,Total Female Detainment,Total Male Detainment,Total Detainment,Total Non-Criminal,Full Address,latitude,longitude
ADAMS COUNTY CORRECTIONAL CENTER,20 HOBO FORK RD.,NATCHEZ,MS,39120,DIGSA,,37.17878965430652,,2026-04-09,0,2123,2123,1944,"20 HOBO FORK RD., NATCHEZ, MS, 39120",31.555178736074,-91.218497823229
ADELANTO ICE PROCESSING CENTER,10250 RANCHO ROAD,ADELANTO,CA,92301,CDF,,52.5547147846333,,2026-04-09,261,1471,1733,1036,"10250 RANCHO ROAD, ADELANTO, CA, 92301",34.557703337364,-117.44190575512
ALEXANDRIA STAGING FACILITY,96 GEORGE THOMPSON DR.,ALEXANDRIA,LA,71303,STAGING,,2.806639034860484,,2026-04-09,0,404,405,317,"96 GEORGE THOMPSON DR., ALEXANDRIA, LA, 71303",,
ALLEGANY COUNTY JAIL,4884 STATE ROUTE 19,BELMONT,NY,14813,USMS IGA,,8.204225352112676,,2026-04-09,6,0,6,6,"4884 STATE ROUTE 19, BELMONT, NY, 14813",42.211876356616,-78.018086855129
ALLEN PARISH PUBLIC SAFETY COMPLEX,7340 HIGHWAY 26 WEST,OBERLIN,LA,70655,IGSA,,66.68543689320389,,2026-04-09,0,139,139,95,"7340 HIGHWAY 26 WEST, OBERLIN, LA, 70655",30.622478469305,-92.782904471911
BAKER CORRECTIONAL INSTITUTION,20706 US 90 W,SANDERSON,FL,32087,STATE,,21.12706719698556,,2026-04-09,0,889,889,650,"20706 US 90 W, SANDERSON, FL, 32087",,
BAKER COUNTY SHERIFF DEPT.,1 SHERIFF OFFICE DRIVE,MACCLENNY,FL,32063,IGSA,,47.32722007722008,,2026-04-09,106,172,278,181,"1 SHERIFF OFFICE DRIVE, MACCLENNY, FL, 32063",30.294633656739,-82.124864459224
BALDWIN COUNTY CORRECTIONAL CENTER,200 HAND AVE.,BAY MINETTE,AL,36507,USMS IGA,,2.662470495672699,,2026-04-09,1,17,18,16,"200 HAND AVE., BAY MINETTE, AL, 36507",30.884469097511,-87.774767151005
BERLIN FED. CORR. INST.,1 SUCCESS LOOP DR.,BERLIN,NH,03570,BOP,,66.01684210526315,,2026-04-09,0,178,178,145,"1 SUCCESS LOOP DR., BERLIN, NH, 03570",44.521302021968,-71.151051726231
BLUEBONNET DETENTION FACILITY,400 2ND STREET,ANSON,TX,79501,DIGSA,,19.3536563071298,,2026-04-09,144,866,1011,787,"400 2ND STREET, ANSON, TX, 79501",32.766498683695,-99.892050597462
BOONE COUNTY JAIL,3020 CONRAD LANE,BURLINGTON,KY,41005,USMS IGA,,53.8916797488226,,2026-04-09,6,199,206,121,"3020 CONRAD LANE, BURLINGTON, KY, 41005",39.037266124352,-84.723711460678
BROOKLYN MDC,100 29TH STREET,BROOKLYN,NY,11232,BOP,,42.28256513026052,,2026-04-09,0,140,140,114,"100 29TH STREET, BROOKLYN, NY, 11232",40.659780282732,-74.002890748813
BROOME COUNTY JAIL,897 FRONT STREET,BINGHAMTON,NY,13905,USMS IGA,,58.40163934426229,,2026-04-09,0,39,39,37,"897 FRONT STREET, BINGHAMTON, NY, 13905",42.163331669729,-75.892101741538
BROWARD COUNTY JAIL,555 SE 1ST AVENUE,FT.LAUDERDALE,FL,33301,IGSA,,1.071005917159763,,2026-04-09,0,2,3,2,"555 SE 1ST AVENUE, FT.LAUDERDALE, FL, 33301",,
BROWARD TRANSITIONAL CENTER,3900 NORTH POWERLINE ROAD,POMPANO BEACH,FL,33073,CDF,,23.82067660279158,,2026-04-09,102,582,684,619,"3900 NORTH POWERLINE ROAD, POMPANO BEACH, FL, 33073",26.275967262384,-80.151998419904
BUFFALO SERVICE PROCESSING CENTER,4250 FEDERAL DRIVE,BATAVIA,NY,14020,SPC,,37.66369213608478,,2026-04-09,0,736,736,620,"4250 FEDERAL DRIVE, BATAVIA, NY, 14020",43.020942178411,-78.199385993694
BURLEIGH COUNTY,P.O. BOX 1416,BISMARCK,ND,58502,USMS IGA,,29.25242718446602,,2026-04-09,0,12,13,11,"P.O. BOX 1416, BISMARCK, ND, 58502",,
BUTLER COUNTY JAIL,705 HANOVER STREET,HAMILTON,OH,45011,USMS IGA,,31.79979518689196,,2026-04-09,23,335,358,299,"705 HANOVER STREET, HAMILTON, OH, 45011",39.389826897294,-84.555542429337
CALHOUN COUNTY CORRECTIONAL CENTER,185 EAST MICHIGAN AVENUE,BATTLE CREEK,MI,49014,IGSA,,52.78336557059961,,2026-04-09,20,157,178,161,"185 EAST MICHIGAN AVENUE, BATTLE CREEK, MI, 49014",42.31541584457,-85.175806699036
CALIFORNIA CITY IMMIGRATION PROCESSING CENTER,22844 VIRGINIA BOULEVARD,CALIFORNIA CITY,CA,93505,CDF,,50.27098919368246,,2026-04-09,193,1110,1303,987,"22844 VIRGINIA BOULEVARD, CALIFORNIA CITY, CA, 93505",35.157979299705,-117.861936983477
CAMBRIA COUNTY PRISON,425 MANOR DRIVE,EBENSBURG,PA,15931,USMS IGA,,8.123574144486692,,2026-04-09,14,25,39,31,"425 MANOR DRIVE, EBENSBURG, PA, 15931",40.48933758114,-78.702526180451
CAMPBELL CO DET CTR,601 CENTRAL AVE,NEWPORT,KY,41071,USMS IGA,,66.74652777777777,,2026-04-09,31,109,141,114,"601 CENTRAL AVE, NEWPORT, KY, 41071",39.088995577443,-84.497274359724
CAROLINE DETENTION FACILITY,11093 S.W. LEWIS MEMORIAL DRIVE,BOWLING GREEN,VA,22427,DIGSA,,53.05061082024433,,2026-04-09,20,323,344,235,"11093 S.W. LEWIS MEMORIAL DRIVE, BOWLING GREEN, VA, 22427",,
"CASCADE COUNTY JAIL, MT",3800 ULM NORTH FRONTAGE ROAD,GREAT FALLS,MT,59404,USMS IGA,,5.847058823529411,,2026-04-09,0,3,3,2,"3800 ULM NORTH FRONTAGE ROAD, GREAT FALLS, MT, 59404",47.46923419717,-111.369347709632
CASS COUNTY JAIL,336 MAIN STREET,PLATTSMOUTH,NE,68048,USMS IGA,,19.76687116564417,,2026-04-09,1,13,14,9,"336 MAIN STREET, PLATTSMOUTH, NE, 68048",41.011223079481,-95.883078531598
"CCA, FLORENCE CORRECTIONAL CENTER",1100 BOWLING ROAD,FLORENCE,AZ,85232,USMS CDF,,33.59272341928647,,2026-04-09,0,517,517,310,"1100 BOWLING ROAD, FLORENCE, AZ, 85232",33.04294019867,-111.370489999772
CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),830 PINEHILL ROAD,JENA,LA,71342,IGSA,,21.97363184079602,,2026-04-09,0,1196,1196,955,"830 PINEHILL ROAD, JENA, LA, 71342",31.708056265607,-92.150701870339
CHASE COUNTY JAIL,301 SOUTH WALNUT STREET,COTTONWOOD FALL,KS,66845,IGSA,,22.86850477200424,,2026-04-09,16,99,116,79,"301 SOUTH WALNUT STREET, COTTONWOOD FALL, KS, 66845",,
CHIPPEWA COUNTY SSM,325 COURT STREET,SAULT STE MARIE,MI,49783,IGSA,,59.86725663716814,,2026-04-09,0,36,36,30,"325 COURT STREET, SAULT STE MARIE, MI, 49783",46.497888003115,-84.345880178483
CHITTENDEN REGIONAL CORRECTIONAL FACILITY,7 FARRELL STREET,SOUTH BURLINGTON,VT,05403,USMS IGA,,11.02739726027397,,2026-04-09,4,0,4,4,"7 FARRELL STREET, SOUTH BURLINGTON, VT, 05403",44.445862434299,-73.204561809612
CHRISTIAN COUNTY JAIL,"410 WEST 7TH STREET,",HOPKINSVILLE,KY,42240,USMS IGA,,40.40277777777778,,2026-04-09,0,109,110,88,"410 WEST 7TH STREET,, HOPKINSVILLE, KY, 42240",36.867467748689,-87.490445954319
CIBOLA COUNTY CORRECTIONAL CENTER,2000 CIBOLA LOOP,MILAN,NM,87021,IGSA,,65.43910806174956,,2026-04-09,0,235,235,208,"2000 CIBOLA LOOP, MILAN, NM, 87021",35.180187560872,-107.908519918659
CIMMARRON CORR FACILITY,3700 S. KINGS HWY,CUSHING,OK,74023,USMS IGA,,42.11098717233686,,2026-04-09,0,589,589,466,"3700 S. KINGS HWY, CUSHING, OK, 74023",35.956565451493,-96.784791898188
CLARK COUNTY JAIL (IN),501 EAST COURT AVE.,JEFFERSONVILLE,IN,47130,USMS IGA,,55.52189781021898,,2026-04-09,63,26,89,78,"501 EAST COURT AVE., JEFFERSONVILLE, IN, 47130",38.276765406689,-85.737296067845
CLAY COUNTY JUSTICE CENTER,611 EAST JACKSON STREET,BRAZIL,IN,47834,USMS IGA,,10.76349614395887,,2026-04-09,0,244,245,190,"611 EAST JACKSON STREET, BRAZIL, IN, 47834",39.523960617666,-87.119660347467
CLINTON COUNTY CORRECTIONAL FACILITY,58 PINE MOUNTAIN RD.,MCELHATTAN,PA,17748,USMS IGA,,53.24233983286908,,2026-04-09,11,80,92,45,"58 PINE MOUNTAIN RD., MCELHATTAN, PA, 17748",,
CLINTON COUNTY JAIL,301 E WALNUT STREET,FRANKFORT,IN,46041,USMS IGA,,5.652058432934927,,2026-04-09,7,20,27,17,"301 E WALNUT STREET, FRANKFORT, IN, 46041",40.279588072763,-86.514491330258
COASTAL BEND DETENTION FACILITY,4909 FM 2826,ROBSTOWN,TX,78380,USMS IGA,,6.171615201900238,,2026-04-09,11,42,53,45,"4909 FM 2826, ROBSTOWN, TX, 78380",27.739664566479,-97.754440580791
COLLIER COUNTY NAPLES JAIL CENTER,3347 TAMIAMI TRAIL E,NAPLES,FL,34112,IGSA,,4.838345864661654,,2026-04-09,6,34,41,31,"3347 TAMIAMI TRAIL E, NAPLES, FL, 34112",26.12580335331,-81.764710773356
CORR. CTR OF NORTHWEST OHIO,3151 COUNTY ROAD 2425,STRYKER,OH,43557,USMS IGA,,43.90747330960854,,2026-04-09,31,46,77,71,"3151 COUNTY ROAD 2425, STRYKER, OH, 43557",41.458888794668,-84.356472450929
CROW WING COUNTY JAIL,313 LAUREL ST,BRAINERD,MN,56401,USMS IGA,,14.98706896551724,,2026-04-09,5,16,21,13,"313 LAUREL ST, BRAINERD, MN, 56401",46.355845174804,-94.205651407116
DAKOTA COUNTY JAIL,1601 BROADWAY,DAKOTA CITY,NE,68731,USMS IGA,,22.65841584158416,,2026-04-09,4,25,30,18,"1601 BROADWAY, DAKOTA CITY, NE, 68731",42.41525988498,-96.41878245942
DAVIESS COUNTY DETENTION,3337 HIGHWAY 144,OWENSBORO,KY,42303,USMS IGA,,29.05084745762712,,2026-04-09,1,38,39,30,"3337 HIGHWAY 144, OWENSBORO, KY, 42303",,
DAVIS COUNTY,800 WEST STATE STREET,FARMINGTON,UT,84025,USMS IGA,,3.661290322580645,,2026-04-09,0,4,4,3,"800 WEST STATE STREET, FARMINGTON, UT, 84025",40.981025081418,-111.903598058297
DELANEY HALL DETENTION FACILITY,451 DOREMUS AVENUE,NEWARK,NJ,07105,CDF,,20.29532528783465,,2026-04-09,57,833,890,827,"451 DOREMUS AVENUE, NEWARK, NJ, 07105",40.717658722266,-74.127619169991
DENVER CONTRACT DETENTION FACILITY,3130 OAKLAND ST,AURORA,CO,80010,CDF,,49.47447447447448,,2026-04-09,104,1155,1260,951,"3130 OAKLAND ST, AURORA, CO, 80010",39.761226001065,-104.850562177767
DEPARTMENT OF CORRECTIONS HAGATNA,203 ASPINAL AVE. PO BOX 3236,HAGATNA,GU,96910,USMS IGA,,45.03703703703704,,2026-04-09,0,17,18,12,"203 ASPINAL AVE. PO BOX 3236, HAGATNA, GU, 96910",,
DESERT VIEW ANNEX,10450 RANCHO ROAD,ADELANTO,CA,92301,CDF,,52.93865814696485,,2026-04-09,0,425,425,382,"10450 RANCHO ROAD, ADELANTO, CA, 92301",34.557676337115,-117.437599043835
DIAMONDBACK CORR FACILITY,"ROUTE 2, BOX 336",WATONGA,OK,73772,DIGSA,,31.38855421686747,,2026-04-09,70,228,299,254,"ROUTE 2, BOX 336, WATONGA, OK, 73772",,
DILLEY IMMIGRATION PROCESSING CENTER,300 EL RANCHO WAY,DILLEY,TX,78017,FAMILY,,31.98147585788035,,2026-04-09,357,209,566,561,"300 EL RANCHO WAY, DILLEY, TX, 78017",,
DILLEY PROCESSING SINGLE ADULT FEMALE,300 EL RANCHO WAY,DILLEY,TX,78017,DIGSA,,67.7724358974359,,2026-04-09,222,0,222,217,"300 EL RANCHO WAY, DILLEY, TX, 78017",,
DODGE COUNTY JAIL,215 WEST CENTRAL STREET,JUNEAU,WI,53039,USMS IGA,,24.04562268803946,,2026-04-09,0,104,104,59,"215 WEST CENTRAL STREET, JUNEAU, WI, 53039",43.408217907288,-88.705199447618
DOUGLAS COUNTY,1409 HAMMOND AVENUE,SUPERIOR,WI,54880,USMS IGA,,36.87850467289719,,2026-04-09,4,22,27,23,"1409 HAMMOND AVENUE, SUPERIOR, WI, 54880",46.721800362747,-92.097960581824
EAST HIDALGO DETENTION CENTER,1330 HIGHWAY 107,LA VILLA,TX,78562,USMS IGA,,2.374545454545455,,2026-04-09,0,2,2,0,"1330 HIGHWAY 107, LA VILLA, TX, 78562",,
EDEN DETENTION CTR,702 E BROADWAY ST,EDEN,TX,76837,USMS IGA,,35.38059701492537,,2026-04-09,0,533,533,487,"702 E BROADWAY ST, EDEN, TX, 76837",31.216362247158,-99.834965716888
EL PASO SERVICE PROCESSING CENTER,8915 MONTANA AVE.,EL PASO,TX,79925,SPC,,51.9699021820918,,2026-04-09,218,580,799,565,"8915 MONTANA AVE., EL PASO, TX, 79925",31.79339363454,-106.369153613793
EL VALLE DETENTION FACILITY,1800 INDUSTRIAL DRIVE,RAYMONDVILLE,TX,78580,DIGSA,,42.76036866359447,,2026-04-09,365,557,922,756,"1800 INDUSTRIAL DRIVE, RAYMONDVILLE, TX, 78580",26.470667909614,-97.761118885789
ELIZABETH CONTRACT DETENTION FACILITY,625 EVANS STREET,ELIZABETH,NJ,07201,CDF,,13.32298301486199,,2026-04-09,38,263,302,245,"625 EVANS STREET, ELIZABETH, NJ, 07201",40.666148739844,-74.189091191809
ELMORE COUNTY JAIL,2255 E. 8TH NORTH,MOUNTAIN HOME,ID,83647,USMS IGA,,4.109090909090909,,2026-04-09,0,8,8,6,"2255 E. 8TH NORTH, MOUNTAIN HOME, ID, 83647",43.137462870113,-115.673062336373
ELOY FEDERAL CONTRACT FACILITY,1705 EAST HANNA RD.,ELOY,AZ,85131,DIGSA,,57.70793797732006,,2026-04-09,510,819,1329,1054,"1705 EAST HANNA RD., ELOY, AZ, 85131",32.821317645808,-111.518140123758
ERO EL PASO CAMP EAST MONTANA,6920 DIGITAL RD,EL PASO,TX,79936,CDF,,11.22260088296801,,2026-04-09,250,2254,2505,2027,"6920 DIGITAL RD, EL PASO, TX, 79936",,
ETOWAH COUNTY JAIL,827 FORREST AVENUE,GADSDEN,AL,35901,USMS IGA,,4.208481532147743,,2026-04-09,11,71,82,68,"827 FORREST AVENUE, GADSDEN, AL, 35901",34.016082206453,-86.012464350219
FARMVILLE DETENTION CENTER,508 WATERWORKS ROAD,FARMVILLE,VA,23901,DIGSA,,48.59535864978903,,2026-04-09,0,688,688,519,"508 WATERWORKS ROAD, FARMVILLE, VA, 23901",37.320003805984,-78.438538325614
FCI ATLANTA,"601 MCDONOUGH BOULEVARD, SE",ATLANTA,GA,30315,BOP,,13.88263888888889,,2026-04-09,0,106,106,58,"601 MCDONOUGH BOULEVARD, SE, ATLANTA, GA, 30315",33.713744470162,-84.368559435709
FDC PHILADELPHIA,700 ARCH ST.,PHILADELPHIA,PA,19106,BOP,,6.086684888715346,,2026-04-09,0,83,83,75,"700 ARCH ST., PHILADELPHIA, PA, 19106",39.952898013952,-75.151623410306
FLAGLER COUNTY JAIL,1002 JUSICE LANE,BUNNELL,FL,32110,IGSA,,8.664739884393063,,2026-04-09,25,0,25,24,"1002 JUSICE LANE, BUNNELL, FL, 32110",29.453490672367,-81.256798933201
FLORENCE SERVICE PROCESSING CENTER,3250 NORTH PINAL PARKWAY,FLORENCE,AZ,85132,SPC,,6.972625887124028,,2026-04-09,6,320,327,279,"3250 NORTH PINAL PARKWAY, FLORENCE, AZ, 85132",33.064251136883,-111.378841721523
